,Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
0,15.0,29.0,4,Laptop & Accessory,3,Single,2,0,7.0,143.32,No Churn
1,7.0,25.0,4,Mobile,1,Married,2,0,7.0,129.29,No Churn
2,27.0,13.0,3,Laptop & Accessory,1,Married,5,0,7.0,168.54,No Churn
4,30.0,15.0,4,Others,4,Single,8,0,8.0,322.17,No Churn
5,7.0,16.0,4,Mobile Phone,2,Divorced,2,0,11.0,152.81,No Churn
6,1.0,15.0,6,Mobile Phone,5,Divorced,3,0,2.0,149.51,No Churn
7,1.0,11.0,4,Mobile Phone,5,Single,3,0,1.0,154.73,Churn
8,11.0,12.0,4,Mobile Phone,3,Married,2,0,4.0,137.02,No Churn
9,17.0,7.0,3,Laptop & Accessory,1,Married,5,1,2.0,157.43,No Churn
11,16.0,20.0,2,Laptop & Accessory,5,Married,7,0,1.0,180.38,No Churn
12,1.0,7.0,4,Mobile Phone,3,Divorced,5,0,3.0,154.09,Churn
14,6.0,14.0,3,Laptop & Accessory,5,Married,3,0,2.0,163.92,No Churn
15,10.0,8.0,4,Laptop & Accessory,3,Single,8,0,1.0,193.15,No Churn
17,8.0,22.0,4,Fashion,2,Divorced,3,0,6.0,204.78,Churn
18,19.0,27.0,4,Grocery,1,Married,2,1,11.0,259.96,No Churn
19,0.0,18.0,1,Mobile,4,Single,2,0,0.0,127.16,Churn
20,1.0,33.0,5,Laptop & Accessory,5,Single,7,0,2.0,191.96,Churn
21,3.0,22.0,3,Laptop & Accessory,3,Married,9,0,2.0,153.01,No Churn
22,30.0,9.0,1,Mobile,5,Married,5,1,0.0,126.7,No Churn
23,5.0,14.0,3,Fashion,1,Single,2,0,7.0,189.98,No Churn
24,9.0,12.0,4,Fashion,4,Single,2,0,14.0,205.95,No Churn
25,18.0,26.0,3,Laptop & Accessory,3,Single,9,0,1.0,148.5,No Churn
26,16.0,17.0,3,Fashion,3,Married,2,0,9.0,175.1,No Churn
28,7.0,6.0,4,Fashion,5,Married,10,0,6.0,204.82,Churn
30,12.0,6.0,1,Fashion,1,Married,1,0,7.0,196.13,No Churn
31,30.0,11.0,4,Fashion,4,Married,3,1,4.0,205.52,No Churn
32,11.0,17.0,2,Fashion,1,Married,3,1,9.0,262.44,No Churn
36,24.0,31.0,4,Grocery,3,Married,5,1,6.0,264.73,No Churn
38,0.0,9.0,3,Laptop & Accessory,5,Divorced,2,1,3.0,141.94,No Churn
39,1.0,7.0,4,Mobile Phone,1,Married,11,1,3.0,172.87,Churn
40,4.0,18.0,3,Mobile Phone,1,Married,9,1,2.0,139.29,No Churn
41,18.0,7.0,4,Fashion,3,Married,4,0,4.0,207.48,No Churn
42,15.0,7.0,2,Fashion,5,Married,3,0,8.0,208.92,No Churn
43,17.0,21.0,4,Grocery,5,Married,8,0,1.0,296.59,No Churn
45,4.0,15.0,4,Fashion,3,Married,7,0,8.0,197.64,No Churn
46,5.0,9.0,4,Mobile Phone,1,Married,2,1,3.0,151.95,No Churn
47,11.0,17.0,2,Mobile Phone,1,Single,5,0,1.0,171.8,No Churn
48,24.0,6.0,4,Fashion,5,Single,4,0,8.0,174.84,No Churn
49,0.0,6.0,3,Laptop & Accessory,3,Divorced,2,0,7.0,152.96,No Churn
50,3.0,6.0,3,Laptop & Accessory,1,Single,2,0,7.0,140.11,No Churn
51,61.0,28.0,4,Grocery,1,Married,6,1,1.0,303.75,No Churn
53,25.0,10.0,3,Grocery,2,Divorced,3,0,4.0,265.55,No Churn
54,9.0,22.0,4,Laptop & Accessory,5,Married,5,0,2.0,156.47,No Churn
55,8.0,8.0,4,Laptop & Accessory,1,Married,11,0,2.0,179.84,No Churn
56,8.0,33.0,5,Mobile Phone,3,Married,3,0,1.0,145.29,No Churn
58,17.0,19.0,5,Grocery,4,Married,3,0,10.0,268.36,No Churn
59,8.0,26.0,5,Mobile Phone,1,Married,3,0,8.0,154.29,No Churn
61,0.0,8.0,3,Laptop & Accessory,3,Single,2,1,4.0,144.78,No Churn
62,4.0,32.0,3,Mobile,3,Married,2,0,3.0,129.11,No Churn
63,1.0,10.0,4,Mobile Phone,5,Married,7,0,3.0,165.31,Churn
64,1.0,16.0,4,Mobile Phone,1,Single,3,0,1.0,135.81,Churn
65,1.0,31.0,6,Mobile Phone,1,Single,3,1,1.0,148.4,Churn
66,0.0,16.0,3,Laptop & Accessory,2,Single,1,0,1.0,149.5,No Churn
67,1.0,16.0,3,Laptop & Accessory,3,Single,4,0,7.0,136.6,No Churn
68,13.0,21.0,4,Fashion,3,Married,2,0,12.0,204.35,No Churn
69,5.0,12.0,4,Laptop & Accessory,3,Married,3,0,3.0,208.46,No Churn
75,14.0,14.0,3,Laptop & Accessory,4,Married,6,0,4.0,143.93,No Churn
76,5.0,15.0,5,Laptop & Accessory,1,Married,1,0,7.0,146.68,No Churn
77,9.0,11.0,4,Laptop & Accessory,3,Single,3,1,2.0,167.49,No Churn
78,1.0,31.0,4,Mobile Phone,2,Divorced,2,0,2.0,149.0,No Churn
79,0.0,6.0,3,Laptop & Accessory,4,Divorced,1,1,4.0,163.49,No Churn
80,7.0,8.0,3,Laptop & Accessory,5,Single,1,1,2.0,145.38,No Churn
81,6.0,12.0,4,Laptop & Accessory,4,Married,3,0,4.0,190.24,No Churn
82,1.0,10.0,4,Mobile Phone,1,Single,3,1,1.0,140.69,Churn
83,9.0,18.0,4,Fashion,2,Single,1,0,8.0,188.58,No Churn
86,11.0,22.0,3,Laptop & Accessory,4,Single,3,0,2.0,141.98,No Churn
87,4.0,10.0,4,Mobile Phone,1,Married,6,0,5.0,145.97,No Churn
88,25.0,10.0,4,Grocery,4,Single,5,0,1.0,262.34,No Churn
89,2.0,19.0,4,Laptop & Accessory,4,Married,5,1,3.0,140.25,No Churn
91,18.0,10.0,5,Fashion,3,Married,5,0,3.0,197.56,No Churn
92,19.0,32.0,4,Laptop & Accessory,4,Single,9,0,2.0,179.91,No Churn
94,8.0,23.0,3,Laptop & Accessory,5,Married,4,1,7.0,189.66,No Churn
95,0.0,30.0,1,Mobile Phone,5,Single,2,0,0.0,110.91,Churn
96,8.0,32.0,3,Fashion,1,Single,2,1,7.0,188.37,No Churn
97,4.0,15.0,2,Fashion,5,Married,2,1,8.0,239.16000000000005,No Churn
98,0.0,35.0,4,Laptop & Accessory,3,Single,2,0,8.0,145.08,Churn
99,2.0,23.0,4,Fashion,5,Single,2,0,9.0,179.88,No Churn
100,4.0,8.0,5,Mobile,1,Married,5,1,0.0,127.78,Churn
101,19.0,21.0,3,Others,4,Married,6,0,3.0,290.81,No Churn
103,14.0,7.0,6,Laptop & Accessory,1,Married,4,1,3.0,199.57,No Churn
104,15.0,9.0,4,Grocery,5,Divorced,9,0,9.0,290.95,No Churn
105,5.0,11.0,3,Laptop & Accessory,4,Married,2,0,3.0,165.24,No Churn
106,1.0,14.0,2,Mobile Phone,5,Single,2,0,8.0,160.78,No Churn
108,21.0,11.0,4,Laptop & Accessory,3,Single,5,0,1.0,154.76,No Churn
109,1.0,7.0,5,Mobile Phone,3,Married,8,1,3.0,153.0,Churn
110,24.0,12.0,4,Mobile,3,Single,1,0,7.0,128.38,No Churn
111,14.0,16.0,3,Laptop & Accessory,1,Single,8,0,10.0,162.3,No Churn
113,0.0,10.0,3,Laptop & Accessory,3,Divorced,2,1,3.0,141.62,No Churn
114,21.0,10.0,4,Grocery,3,Married,11,1,14.0,262.7,No Churn
115,29.0,9.0,5,Mobile Phone,1,Married,10,0,5.0,151.62,No Churn
116,7.0,14.0,3,Laptop & Accessory,5,Married,4,0,0.0,151.21,No Churn
117,14.0,15.0,4,Laptop & Accessory,5,Married,4,1,1.0,190.16,No Churn
118,5.0,9.0,6,Mobile Phone,1,Married,6,1,1.0,152.78,Churn
119,5.0,14.0,5,Mobile Phone,3,Married,5,0,3.0,148.29,No Churn
120,2.0,15.0,5,Mobile Phone,2,Married,3,0,5.0,174.36,No Churn
121,3.0,7.0,6,Mobile Phone,2,Married,3,0,9.0,152.2,No Churn
122,0.0,12.0,3,Mobile Phone,1,Married,2,1,2.0,56.0,No Churn
123,11.0,20.0,3,Laptop & Accessory,4,Married,1,0,7.0,199.24,No Churn
124,6.0,6.0,1,Grocery,3,Married,5,0,5.0,261.84,No Churn
125,2.0,15.0,5,Mobile Phone,1,Married,3,0,5.0,174.36,No Churn
126,1.0,9.0,4,Mobile Phone,4,Married,6,0,3.0,146.87,No Churn
127,14.0,15.0,3,Fashion,3,Married,4,1,7.0,181.89,No Churn
129,3.0,11.0,4,Mobile Phone,2,Married,10,0,3.0,137.61,No Churn
130,26.0,9.0,5,Mobile Phone,2,Single,9,0,3.0,157.12,No Churn
131,1.0,20.0,5,Laptop & Accessory,5,Married,7,1,3.0,186.34,Churn
132,5.0,16.0,3,Laptop & Accessory,1,Single,9,0,0.0,146.48,No Churn
133,13.0,14.0,3,Laptop & Accessory,5,Married,3,1,0.0,165.16,No Churn
134,4.0,8.0,3,Laptop & Accessory,2,Single,5,1,5.0,165.82,No Churn
136,1.0,32.0,5,Mobile Phone,4,Single,6,1,3.0,148.13,Churn
137,30.0,11.0,4,Others,5,Married,6,0,3.0,324.43,No Churn
138,0.0,26.0,5,Laptop & Accessory,3,Divorced,4,1,2.0,145.59,Churn
141,26.0,15.0,4,Mobile Phone,5,Divorced,11,0,5.0,154.5,No Churn
142,5.0,25.0,1,Mobile,3,Married,7,1,2.0,127.59,Churn
144,19.0,6.0,3,Fashion,5,Married,2,0,7.0,204.53,No Churn
148,1.0,20.0,5,Mobile Phone,5,Married,6,1,1.0,148.35,Churn
149,9.0,13.0,3,Mobile Phone,2,Single,3,0,1.0,146.78,No Churn
150,1.0,10.0,4,Mobile Phone,3,Single,3,0,8.0,165.84,Churn
151,8.0,11.0,4,Laptop & Accessory,3,Divorced,11,0,3.0,190.38,No Churn
153,2.0,16.0,4,Mobile Phone,3,Married,7,0,3.0,148.77,No Churn
155,4.0,14.0,4,Laptop & Accessory,3,Married,3,0,10.0,159.91,No Churn
156,16.0,30.0,4,Grocery,2,Single,4,0,1.0,284.92,No Churn
157,1.0,12.0,4,Mobile Phone,4,Single,3,1,3.0,149.78,No Churn
